Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4705,20/05/2026,16,2,43,20,8,15,5,19,0,0,0.00,0.00,5,0,52713.00,10542.60,174,24,81579.90,468.85,8218,1351,232158.50,28.25,23109,3322,330458.70,14.30,54902,7617,557255.30,10.15
4704,18/05/2026,1,39,23,8,41,27,43,10,0,0,0.00,0.00,9,2,50576.85,5619.65,148,20,78269.80,528.85,7633,1140,222883.60,29.20,18996,3061,316283.40,16.65,34835,5817,536459.00,15.40
4703,15/05/2026,2,33,26,8,41,29,13,3,0,0,0.00,0.00,12,3,115642.80,9636.90,156,22,178963.20,1147.20,8649,1395,509426.10,58.90,22796,3747,724912.80,31.80,61255,9359,1225100.00,20.00
4702,13/05/2026,42,14,15,11,32,5,7,29,1,0,1000000.00,1000000.00,10,0,140577.00,14057.70,181,20,217562.00,1202.00,11057,1543,619192.00,56.00,33457,4504,879919.10,26.30,68952,9252,1489363.20,21.60
4701,11/05/2026,25,11,3,12,27,36,41,8,1,1,1000000.00,1000000.00,10,2,132456.00,13245.60,203,39,204989.40,1009.80,11782,1713,583209.00,49.50,28649,4158,830821.00,29.00,46886,7165,1401891.40,29.90
4700,08/05/2026,40,4,17,41,20,19,10,5,2,0,2000000.00,1000000.00,5,3,36295.25,7259.05,87,25,56171.55,645.65,5319,994,159835.95,30.05,15458,2652,227232.60,14.70,37445,6818,383811.25,10.25
4699,06/05/2026,18,35,9,11,15,41,16,45,2,0,2000000.00,1000000.00,5,0,51718.75,10343.75,160,17,80040.00,500.25,7727,1067,227946.50,29.50,17818,2720,324287.60,18.20,33905,5462,547565.75,16.15
4698,04/05/2026,17,26,38,15,36,6,20,9,0,0,0.00,0.00,8,3,48914.40,6114.30,141,23,75702.90,536.90,7121,1148,215410.25,30.25,19042,2940,306576.20,16.10,43696,7043,517797.60,11.85
4697,01/05/2026,19,41,2,34,22,36,33,38,0,0,0.00,0.00,2,0,38962.70,19481.35,100,15,60300.00,603.00,5206,943,171537.70,32.95,13135,2447,243654.25,18.55,28032,5604,413472.00,14.75
4696,29/04/2026,18,2,4,20,15,41,36,24,1,0,1000000.00,1000000.00,8,1,54164.00,6770.50,198,25,83823.30,423.35,8873,1245,238683.70,26.90,20265,3050,339438.75,16.75,39216,6408,574514.40,14.65
4695,27/04/2026,8,26,43,33,10,24,11,5,0,0,0.00,0.00,7,1,48889.40,6984.20,130,13,75660.00,582.00,6883,951,215437.90,31.30,20619,2811,306192.15,14.85,55960,7231,517630.00,9.25
4694,24/04/2026,17,3,13,36,7,40,45,12,1,0,1000000.00,1000000.00,7,1,40264.00,5752.00,135,27,62316.00,461.60,7424,1420,177433.60,23.90,16011,3119,252173.25,15.75,29642,5807,426844.80,14.40
4693,22/04/2026,24,13,34,37,23,1,9,31,1,0,1000000.00,1000000.00,6,1,54946.50,9157.75,153,20,85037.40,555.80,8205,1242,242047.50,29.50,21393,3245,344427.30,16.10,44034,7179,581248.80,13.20
4692,20/04/2026,18,34,30,40,21,13,24,39,1,0,1000000.00,1000000.00,13,1,51361.05,3950.85,160,21,79488.00,496.80,7918,1232,226058.90,28.55,18669,2857,322040.25,17.25,35638,6035,543479.50,15.25
4691,17/04/2026,31,24,13,16,11,22,28,36,0,0,0.00,0.00,5,2,38970.75,7794.15,160,36,60312.00,376.95,7395,1356,171564.00,23.20,16268,2846,244020.00,15.00,29741,5012,413399.90,13.90
4690,15/04/2026,9,26,22,37,35,13,38,2,0,0,0.00,0.00,8,0,51312.80,6414.10,156,27,79411.80,509.05,7895,1157,226191.75,28.65,19299,2825,321328.35,16.65,35840,5642,542976.00,15.15
4689,13/04/2026,44,28,6,25,13,30,23,14,1,0,1000000.00,1000000.00,8,0,49360.40,6170.05,150,19,76387.50,509.25,7494,1112,217326.00,29.00,21232,3120,308925.60,14.55,42804,6480,522208.80,12.20
4688,10/04/2026,23,10,30,34,31,19,27,40,0,0,0.00,0.00,4,1,38265.20,9566.30,96,11,59217.60,616.85,6148,1115,168455.20,27.40,15090,2671,239931.00,15.90,26652,5018,405110.40,15.20
4687,08/04/2026,40,1,34,4,35,32,7,10,1,0,1000000.00,1000000.00,17,2,51344.25,3020.25,147,26,79460.85,540.55,6682,1169,226185.70,33.85,18679,2877,321278.80,17.20,51556,7201,543915.80,10.55
4686,06/04/2026,38,28,19,39,44,34,45,29,0,0,0.00,0.00,9,2,45191.25,5021.25,117,24,69936.75,597.75,6396,967,198915.60,31.10,15955,2474,283201.25,17.75,29762,4793,479168.20,16.10
4685,03/04/2026,43,13,28,39,41,40,2,22,0,0,0.00,0.00,3,1,35833.05,11944.35,104,17,55458.00,533.25,5006,915,157939.30,31.55,11385,2134,224284.50,19.70,29325,5110,379758.75,12.95
4684,01/04/2026,38,14,11,20,42,30,12,1,1,0,1000000.00,1000000.00,8,1,53857.60,6732.20,177,26,83349.30,470.90,8685,1241,237100.50,27.30,21235,2923,337636.50,15.90,48525,7061,570168.75,11.75
4683,30/03/2026,7,13,27,19,26,5,29,18,0,0,0.00,0.00,21,6,51537.15,2454.15,265,39,79765.00,301.00,12919,1791,226728.45,17.55,28178,4098,322638.10,11.45,47935,6976,546459.00,11.40
4682,27/03/2026,36,35,8,28,11,10,34,41,0,0,0.00,0.00,6,1,37740.30,6290.05,126,18,58407.30,463.55,6308,1039,166215.80,26.35,13618,2492,236272.30,17.35,25659,5093,400280.40,15.60
4681,25/03/2026,15,40,39,21,32,34,23,11,0,0,0.00,0.00,7,1,54091.10,7727.30,141,20,83711.70,593.70,7461,1103,238378.95,31.95,19556,3013,338318.80,17.30,51348,7716,572530.20,11.15
4680,23/03/2026,19,20,14,7,12,21,27,13,2,0,2000000.00,1000000.00,21,2,51951.90,2473.90,255,35,80401.50,315.30,11794,1784,228803.60,19.40,27818,4193,325470.60,11.70,55147,8489,551470.00,10.00
4679,20/03/2026,7,9,17,18,10,37,2,6,0,0,0.00,0.00,9,3,116614.80,12957.20,219,31,180477.90,824.10,10338,1665,513798.60,49.70,26594,4505,731335.00,27.50,58816,9251,1235136.00,21.00
4678,18/03/2026,26,38,10,43,11,31,21,18,1,1,1000000.00,1000000.00,17,1,143388.20,8434.60,192,17,221913.60,1155.80,10381,1344,631164.80,60.80,29650,3857,898395.00,30.30,63370,8575,1520880.00,24.00
4677,16/03/2026,19,16,11,3,43,34,37,23,2,1,2000000.00,1000000.00,14,1,129935.40,9281.10,260,52,201084.00,773.40,11647,1560,571867.70,49.10,27910,3934,814972.00,29.20,51228,7970,1378033.20,26.90
4676,13/03/2026,36,45,25,33,14,37,42,29,0,0,0.00,0.00,7,1,37917.25,5416.75,112,21,58682.40,523.95,5140,989,167050.00,32.50,12832,2367,237392.00,18.50,27800,5506,401710.00,14.45
4675,11/03/2026,27,25,31,42,36,4,10,24,1,0,1000000.00,1000000.00,12,4,50123.40,4176.95,146,33,77569.80,531.30,6951,1028,220694.25,31.75,18802,2746,313993.40,16.70,42288,6144,530714.40,12.55
4674,09/03/2026,19,1,9,16,25,23,10,14,1,0,1000000.00,1000000.00,14,2,47548.20,3396.30,215,33,73583.75,342.25,9718,1461,209422.90,21.55,23215,3571,298312.75,12.85,42196,6412,504242.20,11.95
4673,06/03/2026,30,9,22,32,1,44,25,7,0,0,0.00,0.00,5,1,37764.25,7552.85,95,19,58444.00,615.20,5463,1025,166348.35,30.45,14597,2683,236471.40,16.20,35068,6560,399775.20,11.40
4672,04/03/2026,4,43,40,13,16,45,15,7,1,0,1000000.00,1000000.00,7,1,52545.85,7506.55,135,19,81324.00,602.40,7360,1104,231472.00,31.45,18621,3022,328660.65,17.65,46468,7023,557616.00,12.00
4671,02/03/2026,36,8,15,27,6,33,22,9,2,0,2000000.00,1000000.00,11,1,49354.25,4486.75,148,19,76382.80,516.10,7656,1050,217430.40,28.40,23829,2966,308585.55,12.95,45557,6361,523905.50,11.50
4670,27/02/2026,25,18,11,29,43,22,16,7,0,0,0.00,0.00,12,1,39501.00,3291.75,139,27,61132.20,439.80,6466,1211,173935.40,26.90,18278,3337,247666.90,13.55,37556,7035,418749.40,11.15
4669,25/02/2026,18,33,21,38,30,45,9,24,1,1,1000000.00,1000000.00,4,0,53993.60,13498.40,152,39,83562.00,549.75,7214,1158,237701.30,32.95,18563,2995,337846.60,18.20,43793,6728,571498.65,13.05
4668,23/02/2026,23,29,33,18,15,13,10,1,1,0,1000000.00,1000000.00,4,0,50319.40,12579.85,171,18,77873.40,455.40,9366,1259,221505.90,23.65,21958,3217,315097.30,14.35,48664,7174,532870.80,10.95
4667,20/02/2026,6,42,37,24,26,31,13,20,0,0,0.00,0.00,11,3,88066.00,8006.00,113,13,136294.95,1206.15,6634,1090,388089.00,58.50,18448,3119,552517.60,29.95,40962,6934,933933.60,22.80
4666,18/02/2026,9,32,14,5,22,2,12,21,0,0,0.00,0.00,10,3,104045.00,10404.50,224,29,161022.40,718.85,11306,1695,458458.30,40.55,29907,4533,651972.60,21.80,58460,8508,1104894.00,18.90
4665,16/02/2026,36,24,14,9,20,42,6,5,0,0,0.00,0.00,14,5,99376.90,7098.35,175,27,153798.75,878.85,8646,1278,437919.90,50.65,23500,3676,622750.00,26.50,50701,7500,1054580.80,20.80
4664,13/02/2026,24,39,21,44,17,35,45,38,1,1,1000000.00,1000000.00,8,1,37797.20,4724.65,106,23,58496.10,551.85,5491,1072,166377.30,30.30,12769,2445,236864.95,18.55,25623,4741,400999.95,15.65
4663,11/02/2026,40,27,15,5,26,41,16,32,1,0,1000000.00,1000000.00,8,1,49448.80,6181.10,138,18,76527.90,554.55,6643,954,217890.40,32.80,16601,2612,309608.65,18.65,39331,5844,523102.30,13.30
4662,09/02/2026,12,17,23,30,27,38,2,11,0,0,0.00,0.00,7,0,47912.55,6844.65,177,28,74154.15,418.95,8098,1184,210952.90,26.05,21602,3204,300267.80,13.90,52315,7626,507455.50,9.70
4661,06/02/2026,43,1,32,31,20,17,14,11,0,0,0.00,0.00,6,1,37552.20,6258.70,95,12,58116.25,611.75,5073,995,165379.80,32.60,14335,2733,235094.00,16.40,34880,6525,397632.00,11.40
4660,04/02/2026,1,14,13,12,22,18,25,20,0,0,0.00,0.00,10,3,51787.00,5178.70,193,28,80143.25,415.25,9800,1466,228340.00,23.30,23132,3316,323848.00,14.00,44860,6344,549535.00,12.25
4659,02/02/2026,40,30,14,34,32,37,16,9,0,0,0.00,0.00,8,1,49924.80,6240.60,148,20,77263.40,522.05,6793,1161,219753.55,32.35,16596,2787,312834.60,18.85,38474,6314,529017.50,13.75
4658,30/01/2026,44,29,3,8,12,7,19,31,0,0,0.00,0.00,7,0,38463.25,5494.75,122,20,59523.80,487.90,7610,1322,169322.50,22.25,18306,3119,240723.90,13.15,32084,6032,407466.80,12.70
4657,28/01/2026,29,19,43,42,37,26,35,24,0,0,0.00,0.00,8,2,52646.00,6580.75,130,12,81477.50,626.75,7607,1158,232013.50,30.50,18520,3015,329656.00,17.80,37614,6076,558567.90,14.85
4656,26/01/2026,4,13,39,26,2,17,19,15,1,0,1000000.00,1000000.00,9,0,47199.60,5244.40,148,34,73045.40,493.55,7916,1267,207795.00,26.25,19982,2936,295733.60,14.80,43128,5868,500284.80,11.60
4655,23/01/2026,2,1,37,23,20,32,39,19,1,0,1000000.00,1000000.00,3,2,40375.65,13458.55,107,17,62488.00,584.00,5904,1126,177710.40,30.10,14913,2742,252775.35,16.95,30810,5889,428259.00,13.90
4654,21/01/2026,35,20,40,44,42,27,30,6,0,0,0.00,0.00,13,2,54768.35,4212.95,163,24,84760.00,520.00,7844,1223,241203.00,30.75,20839,3129,342801.55,16.45,44750,7169,579512.50,12.95
4653,19/01/2026,17,29,39,36,33,28,23,44,1,0,1000000.00,1000000.00,12,0,53061.00,4421.75,143,26,82117.75,574.25,7379,1255,233545.35,31.65,18475,3191,332550.00,18.00,39661,6335,561203.15,14.15
4652,16/01/2026,42,9,15,40,4,44,36,41,0,0,0.00,0.00,8,1,41140.00,5142.50,113,24,63669.85,563.45,5928,1056,181100.40,30.55,15814,2917,257768.20,16.30,27635,5404,435251.25,15.75
4651,14/01/2026,43,11,35,15,36,2,44,31,0,0,0.00,0.00,10,4,56784.50,5678.45,130,25,87880.00,676.00,7664,1330,250229.60,32.65,19365,3142,355347.75,18.35,39203,6319,601766.05,15.35
4650,12/01/2026,29,42,23,15,16,10,43,4,1,0,1000000.00,1000000.00,15,4,54305.25,3620.35,164,34,84041.80,512.45,8574,1524,239214.60,27.90,20439,3593,340309.35,16.65,38462,6704,575006.90,14.95
4649,09/01/2026,9,15,4,36,5,29,19,17,2,0,2000000.00,1000000.00,9,4,118946.70,13216.30,167,26,184084.10,1102.30,9695,1663,523530.00,54.00,26782,4197,744539.60,27.80,53039,9565,1262328.20,23.80
4648,07/01/2026,26,1,18,28,13,30,2,44,4,0,4000000.00,1000000.00,17,4,143442.60,8437.80,421,40,221993.30,527.30,14829,1774,631715.40,42.60,28691,4019,898028.30,31.30,51198,7821,1520580.60,29.70
4647,05/01/2026,25,41,38,29,22,6,5,30,2,0,2000000.00,1000000.00,13,1,139587.50,10737.50,207,25,216025.20,1043.60,9993,1612,614569.50,61.50,24171,3931,874990.20,36.20,61188,9131,1480749.60,24.20
4646,02/01/2026,8,23,36,15,39,31,21,5,3,2,3000000.00,1000000.00,4,0,38154.20,9538.55,159,33,59044.65,371.35,5955,1118,167931.00,28.20,14936,2628,238976.00,16.00,34375,6149,403906.25,11.75
4645,31/12/2025,2,40,22,42,9,6,28,27,1,1,1000000.00,1000000.00,10,1,65787.50,6578.75,219,51,101813.10,464.90,10442,1600,289765.50,27.75,26739,3837,411780.60,15.40,51896,7928,698001.20,13.45
4644,29/12/2025,38,7,6,30,42,27,19,34,0,0,0.00,0.00,13,1,51869.35,3989.95,133,23,80272.15,603.55,7340,1158,228641.00,31.15,19160,2931,324762.00,16.95,39313,6024,550382.00,14.00
4643,26/12/2025,36,7,44,33,13,19,39,1,1,0,1000000.00,1000000.00,9,2,38601.45,4289.05,125,25,59737.50,477.90,6095,1156,170050.50,27.90,15490,2831,241644.00,15.60,26791,4959,408562.75,15.25
4642,24/12/2025,36,39,11,19,28,41,45,44,0,0,0.00,0.00,8,1,60006.40,7500.80,192,26,92870.40,483.70,9012,1361,264502.20,29.35,20498,3296,376138.30,18.35,43839,7140,635665.50,14.50
4641,22/12/2025,22,5,37,40,20,14,8,28,0,0,0.00,0.00,13,3,51844.00,3988.00,106,12,80236.70,756.95,7207,1234,228461.90,31.70,20253,3103,325060.65,16.05,49197,7733,548546.55,11.15
4640,19/12/2025,17,3,25,5,38,2,9,7,0,0,0.00,0.00,10,2,39471.00,3947.10,124,22,61088.60,492.65,6442,1240,173934.00,27.00,19804,3859,247550.00,12.50,44997,8268,418472.10,9.30
4639,17/12/2025,36,14,7,17,45,29,12,32,0,0,0.00,0.00,8,3,54344.40,6793.05,157,22,84104.90,535.70,7855,1296,239184.75,30.45,20171,3374,339881.35,16.85,42085,6846,576564.50,13.70
4638,15/12/2025,33,14,8,23,9,27,4,3,0,0,0.00,0.00,10,2,51610.50,5161.05,193,35,79873.05,413.85,9828,1457,227518.20,23.15,26790,3779,322819.50,12.05,48361,7341,546479.30,11.30
4637,12/12/2025,10,36,45,2,15,39,25,38,0,0,0.00,0.00,1,0,39780.70,39780.70,92,21,61566.40,669.20,5254,1000,175220.90,33.35,13744,2696,248766.40,18.10,27129,5366,421855.95,15.55
4636,10/12/2025,15,2,10,33,38,26,19,14,0,0,0.00,0.00,5,2,55042.75,11008.55,148,30,85188.80,575.60,7814,1394,242624.70,31.05,20861,3303,344206.50,16.50,47234,6902,583339.90,12.35
4635,08/12/2025,26,40,6,39,37,12,24,7,1,0,1000000.00,1000000.00,9,1,51162.75,5684.75,138,29,79177.50,573.75,6964,1135,225285.40,32.35,18173,2939,320753.45,17.65,45715,7355,541722.75,11.85
4634,05/12/2025,9,23,8,16,11,33,34,1,0,0,0.00,0.00,12,1,42421.20,3535.10,177,43,65649.30,370.90,8514,1624,186882.30,21.95,18992,3645,265888.00,14.00,29847,6287,449197.35,15.05
4633,03/12/2025,15,2,38,37,22,35,39,6,1,1,2000000.00,2000000.00,6,3,171079.20,28513.20,144,32,264772.80,1838.70,11088,2160,753984.00,68.00,29245,5297,1070367.00,36.60,58604,10346,1810863.60,30.90
4632,01/12/2025,8,6,30,38,36,1,43,5,1,0,2000000.00,2000000.00,7,1,150427.20,21489.60,236,45,232814.00,986.50,11636,1955,662088.40,56.90,28131,5002,942388.50,33.50,53453,9550,1592899.40,29.80
4631,28/11/2025,30,8,25,43,39,24,21,1,2,0,4000000.00,2000000.00,8,3,127443.20,15930.40,231,48,197227.80,853.80,9770,1962,561775.00,57.50,26009,5242,798476.30,30.70,61348,11098,1349656.00,22.00
4630,26/11/2025,44,43,8,36,16,27,31,30,0,0,0.00,0.00,9,2,53767.35,5974.15,116,19,83212.60,717.35,7033,1213,236660.45,33.65,18390,3019,336537.00,18.30,37327,6169,569236.75,15.25
4629,24/11/2025,44,15,20,17,4,18,7,11,0,0,0.00,0.00,9,0,50639.40,5626.60,141,24,78367.80,555.80,7756,1219,222985.00,28.75,23684,3679,317365.60,13.40,74469,11031,536176.80,7.20
4628,21/11/2025,4,5,26,10,40,20,14,24,0,0,0.00,0.00,9,1,39342.15,4371.35,175,21,60891.25,347.95,7885,1362,173470.00,22.00,17775,3312,246183.75,13.85,36230,6950,416645.00,11.50
4627,19/11/2025,43,26,35,25,42,13,24,5,2,0,2000000.00,1000000.00,5,2,55769.25,11153.85,135,27,86312.25,639.35,7169,1277,245538.25,34.25,20191,3441,349304.30,17.30,47745,7748,592038.00,12.40
4626,17/11/2025,37,11,4,2,5,7,30,22,1,1,1000000.00,1000000.00,18,0,52041.60,2891.20,280,41,80542.00,287.65,12976,1773,229026.40,17.65,28136,3921,326377.60,11.60,45316,7142,550589.40,12.15
4625,14/11/2025,34,11,28,15,44,31,9,20,1,0,1000000.00,1000000.00,9,1,38956.50,4328.50,124,15,60288.80,486.20,6052,1087,171574.20,28.35,14490,2695,244156.50,16.85,33559,6515,412775.70,12.30
4624,12/11/2025,35,11,33,15,34,45,8,37,0,0,0.00,0.00,5,2,51951.50,10390.30,98,31,80399.20,820.40,6905,1072,228900.75,33.15,18607,2841,325622.50,17.50,35778,5755,550981.20,15.40
4623,10/11/2025,38,3,31,22,28,5,26,14,0,0,0.00,0.00,6,1,50309.10,8384.85,151,30,77863.15,515.65,8006,1221,221766.20,27.70,21129,3176,314822.10,14.90,43928,6561,533725.20,12.15
4622,07/11/2025,31,16,23,30,6,3,13,18,0,0,0.00,0.00,14,1,37909.90,2707.85,139,25,58671.90,422.10,6963,1361,167112.00,24.00,18999,3251,237487.50,12.50,36288,6192,400982.40,11.05
4621,05/11/2025,26,15,18,27,7,37,19,44,1,1,1000000.00,1000000.00,10,2,52853.00,5285.30,169,18,81796.00,484.00,8794,1206,232601.30,26.45,21461,3063,330499.40,15.40,39548,5634,559604.20,14.15
4620,03/11/2025,25,14,29,23,45,13,31,8,0,0,0.00,0.00,8,1,51094.80,6386.85,129,8,79077.00,613.00,8140,1243,225071.00,27.65,20881,3171,319479.30,15.30,42387,6733,540434.25,12.75
4619,31/10/2025,5,26,42,41,13,16,34,23,0,0,0.00,0.00,6,1,86400.90,14400.15,119,23,133720.30,1123.70,6495,1081,380607.00,58.60,16550,2772,541185.00,32.70,32862,5701,915206.70,27.85
4618,29/10/2025,22,35,5,20,7,10,27,45,1,0,1000000.00,1000000.00,15,2,101709.00,6780.60,259,30,157420.20,607.80,13046,1713,448130.10,34.35,27526,3586,638603.20,23.20,44065,6590,1077389.25,24.45
4617,27/10/2025,14,1,26,6,44,11,17,2,2,1,2000000.00,1000000.00,8,1,98417.20,12302.15,223,35,152320.15,683.05,9807,1314,433959.75,44.25,25901,3506,617738.85,23.85,50550,7524,1046385.00,20.70
4616,24/10/2025,23,37,11,3,15,22,41,13,2,1,2000000.00,1000000.00,14,8,38175.90,2726.85,138,18,59084.70,428.15,6443,1226,168162.30,26.10,16321,2870,239102.65,14.65,27320,5127,404336.00,14.80
4615,22/10/2025,3,34,41,30,1,5,27,8,1,0,1000000.00,1000000.00,6,2,54273.00,9045.50,124,14,83991.40,677.35,7560,1146,238896.00,31.60,23024,3169,339604.00,14.75,51131,7426,575223.75,11.25
4614,20/10/2025,31,44,13,10,30,3,5,7,0,0,0.00,0.00,11,1,51834.75,4712.25,157,26,80219.15,510.95,8552,1310,228338.40,26.70,25065,3633,324591.75,12.95,59461,8003,550014.25,9.25
4613,17/10/2025,22,11,40,2,33,43,27,39,0,0,0.00,0.00,2,1,39447.40,19723.70,94,25,61048.30,649.45,5734,1152,173740.20,30.30,14088,2652,247244.40,17.55,29112,5385,417757.20,14.35
4612,15/10/2025,25,31,10,13,32,36,22,26,1,0,1000000.00,1000000.00,10,0,56606.00,5660.60,189,28,87601.50,463.50,8331,1232,249513.45,29.95,21217,3241,354323.90,16.70,49863,7133,600849.15,12.05
4611,13/10/2025,11,17,14,28,16,27,2,7,6,0,6000000.00,1000000.00,13,2,53599.65,4123.05,185,25,82954.00,448.40,10566,1545,236150.10,22.35,31552,4304,336028.80,10.65,59187,8491,568195.20,9.60
4610,10/10/2025,44,7,6,36,20,45,26,24,0,0,0.00,0.00,4,0,39160.80,9790.20,97,12,60605.60,624.80,5520,1076,172500.00,31.25,14745,2861,245504.25,16.65,32349,5933,415684.65,12.85
4609,08/10/2025,35,12,40,44,30,29,31,37,2,0,2000000.00,1000000.00,9,0,52619.85,5846.65,169,21,81432.65,481.85,7357,986,231745.50,31.50,17450,2690,329805.00,18.90,35898,5689,558213.90,15.55
4608,06/10/2025,23,35,40,24,39,43,30,37,0,0,0.00,0.00,13,0,47613.80,3662.60,96,20,73689.60,767.60,5729,946,209681.40,36.60,15639,2706,297922.95,19.05,32925,5735,503752.50,15.30
4607,03/10/2025,41,36,43,24,44,18,6,32,1,0,1000000.00,1000000.00,11,2,38672.70,3515.70,98,18,59848.60,610.70,5136,990,170258.40,33.15,12799,2493,241901.10,18.90,29449,5619,409341.10,13.90
4606,01/10/2025,22,16,37,3,24,7,20,33,1,1,1000000.00,1000000.00,9,0,53621.10,5957.90,193,37,82980.35,429.95,9132,1301,236062.20,25.85,22772,3119,335887.00,14.75,42676,5919,567590.80,13.30
4605,29/09/2025,26,11,27,35,28,16,15,22,0,0,0.00,0.00,6,1,49865.40,8310.90,158,24,77175.10,488.45,8236,1165,219489.40,26.65,21259,2918,312507.30,14.70,44249,5579,528775.55,11.95
4604,26/09/2025,24,7,39,28,36,26,2,8,0,0,0.00,0.00,4,0,38698.80,9674.70,126,32,59887.80,475.30,6012,1061,170440.20,28.35,14507,2656,242266.90,16.70,37005,6594,410755.50,11.10
