Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4603,24/09/2025,22,17,28,19,43,35,33,20,0,0,0.00,0.00,8,1,54905.60,6863.20,150,12,84975.00,566.50,8400,1128,241920.00,28.80,20220,3034,343740.00,17.00,39816,5965,581313.60,14.60
4602,22/09/2025,2,10,41,27,13,3,24,5,1,0,1000000.00,1000000.00,9,3,52667.10,5851.90,162,35,81510.30,503.15,9021,1313,231839.70,25.70,24366,3655,330159.30,13.55,47845,7317,557394.25,11.65
4601,19/09/2025,37,45,32,11,33,30,21,1,0,0,0.00,0.00,2,0,40092.80,20046.40,117,32,62050.95,530.35,5882,1046,176460.00,30.00,14766,2595,251022.00,17.00,36863,6442,423924.50,11.50
4600,17/09/2025,22,20,44,42,23,17,35,18,1,0,1000000.00,1000000.00,8,2,56864.80,7108.10,159,36,88006.50,553.50,8189,1288,250583.40,30.60,20919,3155,355623.00,17.00,44010,5979,602937.00,13.70
4599,15/09/2025,39,4,41,42,34,23,45,14,0,0,0.00,0.00,8,0,53470.00,6683.75,114,19,82752.60,725.90,6878,1071,235571.50,34.25,19238,2932,334741.20,17.40,36636,5954,566026.20,15.45
4598,12/09/2025,26,4,22,43,5,16,40,9,1,0,1000000.00,1000000.00,11,1,112141.70,10194.70,172,25,173548.00,1009.00,9029,1421,493886.30,54.70,21693,3160,702853.20,32.40,41996,6633,1188486.80,28.30
4597,10/09/2025,3,14,45,22,31,20,37,29,0,0,0.00,0.00,14,3,145950.00,10425.00,200,29,225880.00,1129.40,10804,1413,642838.00,59.50,25885,3684,913740.50,35.30,53275,7260,1544975.00,29.00
4596,08/09/2025,16,7,25,12,21,42,20,32,2,0,2000000.00,1000000.00,15,1,133873.50,8924.90,278,31,207193.40,745.30,12028,1519,589372.00,49.00,28357,3728,839367.20,29.60,50215,7468,1416063.00,28.20
4595,05/09/2025,17,32,14,38,26,3,11,42,0,0,0.00,0.00,11,4,36249.40,3295.40,103,23,56098.95,544.65,5339,1020,159636.10,29.90,13992,2353,226670.40,16.20,30148,4901,384387.00,12.75
4594,03/09/2025,23,11,43,10,34,38,30,31,0,0,0.00,0.00,8,1,51304.80,6413.10,140,20,79401.00,567.15,7615,1093,226165.50,29.70,18038,2674,321076.40,17.80,36270,5169,544050.00,15.00
4593,01/09/2025,7,8,27,40,31,44,16,42,0,0,0.00,0.00,9,3,49654.35,5517.15,133,17,76847.40,577.80,7190,1080,218576.00,30.40,18090,2881,311148.00,17.20,34162,5070,526094.80,15.40
4592,29/08/2025,19,24,9,6,36,39,26,37,0,0,0.00,0.00,6,0,37462.20,6243.70,122,20,57974.40,475.20,6165,1089,164913.75,26.75,13783,2539,234311.00,17.00,26105,4630,396796.00,15.20
4591,27/08/2025,15,12,42,31,24,33,19,23,1,0,1000000.00,1000000.00,9,3,53024.85,5891.65,183,27,82066.35,448.45,7979,1298,233385.75,29.25,19798,2965,331616.50,16.75,47420,6707,561927.00,11.85
4590,25/08/2025,6,4,10,37,23,41,11,36,2,0,2000000.00,1000000.00,8,2,50622.40,6327.80,127,16,78346.30,616.90,7435,1057,223050.00,30.00,19194,2940,316701.00,16.50,40891,5886,535672.10,13.10
4589,22/08/2025,6,29,13,17,4,32,5,15,0,0,0.00,0.00,3,1,38673.15,12891.05,137,39,59848.45,436.85,6731,1393,170294.30,25.30,16647,2947,242213.85,14.55,35097,6337,408880.05,11.65
4588,20/08/2025,2,26,4,20,14,9,39,36,1,0,1000000.00,1000000.00,11,2,55013.75,5001.25,241,26,85145.30,353.30,11405,1485,242356.25,21.25,20168,2703,344872.80,17.10,37600,5613,582800.00,15.50
4587,18/08/2025,43,38,13,44,16,6,40,10,0,0,0.00,0.00,5,1,52384.50,10476.90,146,28,81073.80,555.30,6826,1106,230718.80,33.80,17560,2867,328372.00,18.70,37927,5457,555630.55,14.65
4586,15/08/2025,26,15,20,36,25,23,11,1,0,0,0.00,0.00,8,0,40087.20,5010.90,117,15,62039.25,530.25,6314,1094,176476.30,27.95,15918,2926,250708.50,15.75,41810,7347,424371.50,10.15
4585,13/08/2025,24,17,5,11,14,36,16,1,1,0,1000000.00,1000000.00,5,0,57050.50,11410.10,186,20,88294.20,474.70,9986,1492,251147.90,25.15,25266,3614,357513.90,14.15,48504,7065,603874.80,12.45
4584,11/08/2025,11,17,5,39,10,13,35,45,1,0,1000000.00,1000000.00,6,0,54060.30,9010.05,215,29,83667.25,389.15,9892,1449,237902.60,24.05,20135,3230,338268.00,16.80,38282,6104,572315.90,14.95
4583,08/08/2025,13,9,44,29,1,34,41,28,1,0,1000000.00,1000000.00,7,3,89924.80,12846.40,127,25,139172.95,1095.85,7093,1275,396144.05,55.85,16547,2838,563425.35,34.05,33485,6157,952648.25,28.45
4582,06/08/2025,28,20,32,31,8,10,23,22,1,1,1000000.00,1000000.00,12,2,104071.20,8672.60,208,53,161064.80,774.35,10040,1300,458828.00,45.70,27176,3656,652224.00,24.00,50877,7341,1104030.90,21.70
4581,04/08/2025,45,44,7,38,19,34,20,13,0,0,0.00,0.00,9,2,98639.55,10959.95,142,18,152657.10,1075.05,7664,1251,434548.80,56.70,19886,3051,618454.60,31.10,49897,7263,1047837.00,21.00
4580,01/08/2025,27,28,22,34,2,20,7,3,0,0,0.00,0.00,4,1,37939.40,9484.85,97,13,58714.10,605.30,5849,1068,166988.95,28.55,16186,2815,237934.20,14.70,42993,7497,401984.55,9.35
4579,30/07/2025,35,27,17,39,1,20,21,16,1,0,1000000.00,1000000.00,6,1,55431.30,9238.55,149,23,85786.75,575.75,8067,1204,244026.75,30.25,20494,3062,347373.30,16.95,45857,6527,586969.60,12.80
4578,28/07/2025,36,25,31,22,39,42,18,13,1,1,1000000.00,1000000.00,7,0,51806.30,7400.90,148,27,80179.00,541.75,6895,1090,228224.50,33.10,18762,2990,324582.60,17.30,45456,6165,550017.60,12.10
4577,25/07/2025,27,29,45,6,3,31,5,24,1,0,1000000.00,1000000.00,6,0,36182.70,6030.45,100,7,55995.00,559.95,5594,1057,159429.00,28.50,14431,2620,226566.70,15.70,32833,5984,384146.10,11.70
4576,23/07/2025,29,39,44,16,20,3,11,32,0,0,0.00,0.00,11,1,53435.80,4857.80,134,17,82698.10,617.15,7147,1048,235493.65,32.95,19963,2969,334380.25,16.75,42530,5941,565649.00,13.30
4575,21/07/2025,15,44,33,4,12,13,7,19,0,0,0.00,0.00,12,0,51274.20,4272.85,148,18,79350.20,536.15,7737,1141,225920.40,29.20,22565,3115,321551.25,14.25,56555,7278,542928.00,9.60
4574,18/07/2025,7,35,9,20,26,36,38,23,0,0,0.00,0.00,7,2,38966.55,5566.65,113,22,60308.10,533.70,6264,1126,171633.60,27.40,15222,2714,244313.10,16.05,29661,5484,412287.90,13.90
4573,16/07/2025,26,34,36,35,29,3,41,5,1,0,1000000.00,1000000.00,12,3,55786.20,4648.85,158,27,86339.10,546.45,7934,1167,245557.30,30.95,19529,2855,349569.10,17.90,38171,5706,591650.50,15.50
4572,14/07/2025,40,4,42,5,9,45,6,2,1,1,1000000.00,1000000.00,10,1,52522.50,5252.25,128,12,81286.40,635.05,7629,1122,231540.15,30.35,20073,3017,329197.20,16.40,52291,7296,556899.15,10.65
4571,11/07/2025,38,9,30,24,37,28,3,16,3,0,3000000.00,1000000.00,6,0,39121.20,6520.20,96,20,60547.20,630.70,5572,1019,172453.40,30.95,14853,2797,245074.50,16.50,33864,6037,414834.00,12.25
4570,09/07/2025,14,37,42,32,7,22,13,41,1,0,1000000.00,1000000.00,11,0,56442.65,5131.15,171,30,87355.35,510.85,8418,1350,248751.90,29.55,19378,3015,353648.50,18.25,38179,5877,597501.35,15.65
4569,07/07/2025,27,36,29,11,13,31,6,37,0,0,0.00,0.00,15,3,54171.00,3611.40,286,39,83840.90,293.15,10804,1587,238768.40,22.10,23414,3521,339503.00,14.50,39233,5855,574763.45,14.65
4568,04/07/2025,33,23,14,21,3,7,26,5,1,0,1000000.00,1000000.00,10,1,110375.00,11037.50,317,47,170831.30,538.90,11897,1985,486587.30,40.90,25964,4268,690642.40,26.60,46903,7788,1167884.70,24.90
4567,02/07/2025,43,45,22,26,18,20,3,36,0,0,0.00,0.00,6,0,140539.80,23423.30,163,31,217507.20,1334.40,9317,1456,618648.80,66.40,25244,3511,881015.60,34.90,56111,7757,1486941.50,26.50
4566,30/06/2025,16,38,33,40,15,41,2,10,0,0,0.00,0.00,8,1,126349.60,15793.70,149,22,195547.60,1312.40,8041,1274,556437.20,69.20,20038,3094,791501.00,39.50,51090,7737,1338558.00,26.20
4565,27/06/2025,27,2,8,21,45,28,24,39,0,0,0.00,0.00,5,1,37093.75,7418.75,123,19,57404.10,466.70,6237,1100,163409.40,26.20,13667,2568,232339.00,17.00,26698,4763,392460.60,14.70
4564,25/06/2025,14,5,32,34,39,33,22,8,0,0,0.00,0.00,4,0,54540.00,13635.00,134,18,84406.60,629.90,7110,1093,240318.00,33.80,19173,2967,341279.40,17.80,49152,6594,577536.00,11.75
4563,23/06/2025,29,6,24,39,7,4,31,40,0,0,0.00,0.00,9,1,52363.80,5818.20,183,30,81041.55,442.85,9362,1351,230773.30,24.65,20139,2958,328265.70,16.30,34926,5535,555323.40,15.90
4562,20/06/2025,19,5,26,13,4,37,9,17,2,2,2000000.00,1000000.00,3,0,36045.90,12015.30,129,26,55786.05,432.45,6165,972,158748.75,25.75,16719,2734,225706.50,13.50,35174,6100,381637.90,10.85
4561,18/06/2025,39,13,32,35,24,18,1,28,0,0,0.00,0.00,10,0,55908.50,5590.85,161,24,86529.45,537.45,8172,1134,246385.80,30.15,20280,2837,349830.00,17.25,45782,6491,592876.90,12.95
4560,16/06/2025,18,7,41,11,29,27,35,24,0,0,0.00,0.00,6,0,52257.90,8709.65,202,27,80870.70,400.35,10140,1386,230178.00,22.70,22287,3218,327618.90,14.70,39012,5394,553970.40,14.20
4559,13/06/2025,23,15,35,32,11,16,43,5,1,0,1000000.00,1000000.00,7,0,39579.05,5654.15,148,25,61249.80,413.85,7124,1130,174181.80,24.45,16295,2808,247684.00,15.20,28395,4932,418826.25,14.75
4558,11/06/2025,36,34,20,42,24,6,9,18,1,0,1000000.00,1000000.00,6,0,51483.00,8580.50,143,27,79672.45,557.15,7335,1045,226651.50,30.90,19502,2632,322758.10,16.55,47184,6581,544975.20,11.55
4557,09/06/2025,22,33,34,2,27,25,40,38,0,0,0.00,0.00,4,0,47243.20,11810.80,136,36,73113.60,537.60,6980,1248,208004.00,29.80,16001,2411,296018.50,18.50,31695,5216,500781.00,15.80
4556,06/06/2025,20,44,41,15,16,43,42,40,1,1,1000000.00,1000000.00,2,0,36881.20,18440.60,98,20,57080.10,582.45,4646,772,162377.70,34.95,13999,2367,230983.50,16.50,25987,4718,391104.35,15.05
4555,04/06/2025,11,36,34,21,22,12,4,30,3,0,3000000.00,1000000.00,10,0,52997.00,5299.70,159,22,82020.15,515.85,8521,1082,233475.40,27.40,22869,3006,331600.50,14.50,47230,6536,562037.00,11.90
4554,02/06/2025,41,36,24,25,4,31,14,42,1,0,1000000.00,1000000.00,7,0,48020.00,6860.00,102,16,74317.20,728.60,6306,925,211566.30,33.55,16440,2258,300852.00,18.30,34779,4224,509512.35,14.65
4553,30/05/2025,32,34,36,28,6,15,30,25,0,0,0.00,0.00,3,0,36342.45,12114.15,103,12,56243.15,546.05,5261,898,160197.45,30.45,13140,2230,227322.00,17.30,29527,4996,385327.35,13.05
4552,28/05/2025,17,12,37,25,23,19,35,1,0,0,0.00,0.00,7,0,53599.35,7657.05,173,19,82953.50,479.50,9315,1385,236135.25,25.35,22222,3285,335552.20,15.10,38518,5562,568140.50,14.75
4551,26/05/2025,10,2,20,6,31,35,40,3,1,0,1000000.00,1000000.00,8,3,49975.60,6246.95,203,28,77343.00,381.00,9125,1192,219912.50,24.10,20543,2884,313280.75,15.25,36739,5251,529041.60,14.40
4550,23/05/2025,37,26,25,3,24,11,17,41,0,0,0.00,0.00,6,1,37606.50,6267.75,122,14,58200.10,477.05,6320,1069,165584.00,26.20,14452,2606,235567.60,16.30,27981,5019,398729.25,14.25
4549,21/05/2025,5,17,23,29,6,36,14,2,2,0,2000000.00,1000000.00,7,0,55367.20,7909.60,151,25,85684.95,567.45,9166,1273,243815.60,26.60,23523,3210,346964.25,14.75,48011,7028,585734.20,12.20
4548,19/05/2025,40,13,31,38,42,27,23,26,2,2,2000000.00,1000000.00,11,3,52192.80,4744.80,117,12,80776.80,690.40,7459,1082,229737.20,30.80,18917,2804,327264.10,17.30,42434,6187,553763.70,13.05
4547,16/05/2025,8,23,1,21,10,2,16,6,1,0,1000000.00,1000000.00,11,3,87687.60,7971.60,175,23,135712.50,775.50,9312,1445,386448.00,41.50,24364,4049,549408.20,22.55,42877,6589,930430.90,21.70
4546,14/05/2025,15,22,40,24,32,43,10,44,0,0,0.00,0.00,3,0,104805.90,34935.30,155,23,162207.50,1046.50,8163,1192,462025.80,56.60,20472,3008,656127.60,32.05,45374,6003,1111663.00,24.50
4545,12/05/2025,7,28,35,40,29,24,27,13,0,0,0.00,0.00,11,2,100970.10,9179.10,133,20,156268.35,1174.95,8643,1240,445114.50,51.50,23840,3658,632952.00,26.55,59528,7961,1071504.00,18.00
4544,09/05/2025,26,29,32,42,3,17,33,35,0,0,0.00,0.00,5,0,35483.00,7096.60,122,19,54912.20,450.10,5530,948,156222.50,28.25,13988,2332,222409.20,15.90,28538,4649,375274.70,13.15
4543,07/05/2025,6,38,13,15,26,4,7,33,0,0,0.00,0.00,6,2,53232.60,8872.10,172,26,82388.00,479.00,8640,1210,234576.00,27.15,22450,3090,333382.50,14.85,46346,6309,563103.90,12.15
4542,05/05/2025,39,30,20,1,40,7,26,3,0,0,0.00,0.00,10,2,50117.00,5011.70,205,28,77561.75,378.35,9304,1241,220970.00,23.75,20936,3020,314040.00,15.00,43910,6577,531311.00,12.10
4541,02/05/2025,34,14,32,3,41,19,36,20,0,0,0.00,0.00,9,2,37752.30,4194.70,110,17,58426.50,531.15,5401,939,166350.80,30.80,12875,2355,236256.25,18.35,27327,4984,400340.55,14.65
4540,30/04/2025,32,45,12,41,43,26,38,42,0,0,0.00,0.00,4,0,55510.40,13877.60,113,20,85908.25,760.25,6980,1120,244649.00,35.05,21041,3016,347176.50,16.50,40117,5770,587714.05,14.65
4539,28/04/2025,12,29,8,28,36,45,6,31,2,0,2000000.00,1000000.00,9,1,53248.50,5916.50,163,28,82404.65,505.55,8221,1244,234709.55,28.55,20301,2968,332936.40,16.40,42275,6652,564371.25,13.35
4538,25/04/2025,10,36,29,17,8,40,7,3,0,0,0.00,0.00,3,0,35987.55,11995.85,83,15,55693.00,671.00,4944,903,158455.20,32.05,14785,2540,225471.25,15.25,40875,6691,382181.25,9.35
4537,23/04/2025,18,37,10,20,11,3,22,32,1,0,1000000.00,1000000.00,9,0,56893.50,6321.50,214,31,88050.30,411.45,9893,1340,250787.55,25.35,23420,3545,355984.00,15.20,43981,6617,602539.70,13.70
4536,21/04/2025,5,30,18,12,11,13,8,27,1,0,1000000.00,1000000.00,10,2,49053.50,4905.35,220,22,75911.00,345.05,10712,1392,215846.80,20.15,28460,4023,307368.00,10.80,53041,6815,519801.80,9.80
4535,18/04/2025,1,36,37,44,20,38,17,23,1,0,1000000.00,1000000.00,5,1,34928.50,6985.70,74,14,54057.00,730.50,4384,713,153878.40,35.10,11175,1868,218471.25,19.55,30184,5386,369754.00,12.25
4534,16/04/2025,6,20,5,1,42,22,43,26,0,0,0.00,0.00,10,2,54833.00,5483.30,155,17,84862.50,547.50,8925,1192,241421.25,27.05,20499,2808,343358.25,16.75,37069,5627,580129.85,15.65
4533,14/04/2025,10,25,14,36,34,7,11,1,0,0,0.00,0.00,7,1,50309.70,7187.10,133,19,77858.20,585.40,7757,1190,221462.35,28.55,21022,3003,315330.00,15.00,59967,7641,533706.30,8.90
4532,11/04/2025,23,12,20,40,43,14,37,6,0,0,0.00,0.00,3,0,37180.95,12393.65,80,17,57544.00,719.30,5109,1000,163743.45,32.05,13022,2376,233093.80,17.90,25656,4356,393819.60,15.35
4531,09/04/2025,36,30,35,15,29,27,4,38,1,0,1000000.00,1000000.00,13,0,55322.80,4255.60,185,18,85618.00,462.80,8187,1224,243563.25,29.75,19978,2807,346618.30,17.35,39446,5511,585773.10,14.85
4530,07/04/2025,33,3,41,2,6,8,39,37,0,0,0.00,0.00,8,1,52236.80,6529.60,140,19,80843.00,577.45,8277,1185,230100.60,27.80,16444,2508,327235.60,19.90,36124,5538,552697.20,15.30
4529,04/04/2025,42,9,3,40,24,29,14,4,1,0,1000000.00,1000000.00,7,2,105606.90,15086.70,155,29,163432.00,1054.40,7762,1359,464943.80,59.90,19933,3185,661775.60,33.20,52010,7544,1118215.00,21.50
4528,02/04/2025,37,9,5,29,31,11,33,4,0,0,0.00,0.00,7,0,140655.90,20093.70,230,27,217672.00,946.40,12571,1734,619750.30,49.30,29904,4206,882168.00,29.50,54196,7445,1490390.00,27.50
4527,31/03/2025,18,6,34,24,43,38,13,16,1,0,1000000.00,1000000.00,7,0,129042.20,18434.60,207,25,199713.60,964.80,9573,1333,568636.20,59.40,24637,3310,808093.60,32.80,53707,7312,1369528.50,25.50
4526,28/03/2025,39,44,32,41,16,33,38,30,0,0,0.00,0.00,5,0,35638.75,7127.75,77,8,55155.10,716.30,4744,853,157026.40,33.10,12306,2337,223353.90,18.15,23966,4345,377464.50,15.75
4525,26/03/2025,41,19,21,10,36,5,27,15,1,0,1000000.00,1000000.00,12,1,55840.80,4653.40,124,25,86421.80,696.95,8354,1328,246025.30,29.45,23087,3631,349768.05,15.15,48898,7459,591665.80,12.10
4524,24/03/2025,2,16,31,1,3,22,41,14,1,0,1000000.00,1000000.00,7,0,51772.00,7396.00,168,20,80127.60,476.95,9525,1386,228123.75,23.95,19255,3062,324446.75,16.85,33668,5711,548788.40,16.30
4523,21/03/2025,19,12,11,17,24,14,45,29,0,0,0.00,0.00,9,2,38160.45,4240.05,155,30,59055.00,381.00,7633,1411,167926.00,22.00,15857,2976,238647.85,15.05,28636,5322,403767.60,14.10
4522,19/03/2025,25,35,19,45,31,24,34,2,0,0,0.00,0.00,9,2,57137.40,6348.60,163,29,88427.50,542.50,7880,1153,251766.00,31.95,18881,2896,357794.95,18.95,39458,5968,605680.30,15.35
4521,17/03/2025,9,38,42,45,41,44,28,30,0,0,0.00,0.00,8,1,54502.40,6812.80,273,41,84343.35,308.95,9393,1438,239991.15,25.55,16823,2786,341506.90,20.30,38757,5960,577479.30,14.90
4520,14/03/2025,37,22,5,8,13,18,9,7,0,0,0.00,0.00,5,0,38821.25,7764.25,142,23,60080.20,423.10,6918,1157,170874.60,24.70,18993,3337,243110.40,12.80,44016,7872,411549.60,9.35
4519,12/03/2025,34,40,28,39,21,24,31,6,1,1,1000000.00,1000000.00,9,1,57095.55,6343.95,151,27,88365.20,585.20,7655,1250,251466.75,32.85,19611,2956,357900.75,18.25,43780,6765,604164.00,13.80
4518,10/03/2025,27,7,21,17,14,33,41,6,2,0,2000000.00,1000000.00,13,2,52358.80,4027.60,452,46,81021.00,179.25,12270,1740,230676.00,18.80,21559,3643,327696.80,15.20,35774,6017,554497.00,15.50
4517,07/03/2025,38,41,6,16,5,19,2,15,0,0,0.00,0.00,1,0,38794.45,38794.45,102,14,60037.20,588.60,5717,1006,170938.30,29.90,14592,2663,242956.80,16.65,31355,5921,410750.50,13.10
4516,05/03/2025,34,26,38,19,4,33,14,35,1,0,1000000.00,1000000.00,6,0,57705.30,9617.55,149,18,89303.15,599.35,8049,1160,254348.40,31.60,20807,3219,361001.45,17.35,41889,6099,611579.40,14.60
4515,03/03/2025,4,21,6,15,8,42,33,7,1,0,1000000.00,1000000.00,13,1,54104.70,4161.90,199,28,83729.25,420.75,10352,1351,238096.00,23.00,25374,3091,338742.90,13.35,46436,5811,573484.60,12.35
4514,28/02/2025,8,23,12,39,30,22,25,36,1,1,1000000.00,1000000.00,5,1,39260.25,7852.05,122,24,60762.10,498.05,6535,1126,172850.75,26.45,15511,2592,245849.35,15.85,29029,4932,416566.15,14.35
4513,26/02/2025,26,10,25,8,35,44,16,43,0,0,0.00,0.00,4,1,56831.40,14207.85,181,30,87956.95,485.95,8764,1258,250212.20,28.55,20290,2905,356089.50,17.55,37691,5719,603056.00,16.00
4512,24/02/2025,17,16,2,26,12,1,11,4,0,0,0.00,0.00,20,3,55177.00,2758.85,209,38,85397.40,408.60,10403,1455,242910.05,23.35,28755,3907,345060.00,12.00,66053,8391,584569.05,8.85
4511,21/02/2025,7,10,14,34,21,23,41,25,1,0,1000000.00,1000000.00,6,2,86115.30,14352.55,161,20,133275.80,827.80,7848,1294,379450.80,48.35,17386,2997,539835.30,31.05,31415,5320,914176.50,29.10
4510,19/02/2025,39,1,31,17,43,44,7,45,0,0,0.00,0.00,6,0,105772.50,17628.75,153,24,163694.70,1069.90,8262,1240,465976.80,56.40,22945,3182,663110.50,28.90,48603,6957,1122729.30,23.10
4509,17/02/2025,26,5,21,35,30,31,27,19,0,0,0.00,0.00,15,4,102864.75,6857.65,160,27,159192.00,994.95,9618,1373,453007.80,47.10,24457,3192,645664.80,26.40,55752,7648,1089951.60,19.55
4508,14/02/2025,1,38,4,16,45,44,14,31,1,0,1000000.00,1000000.00,9,1,37556.55,4172.95,110,14,58124.00,528.40,5527,980,165533.65,29.95,13584,2494,235003.20,17.30,28739,4918,398035.15,13.85
4507,12/02/2025,14,34,20,26,15,7,23,30,0,0,0.00,0.00,11,1,56910.70,5173.70,203,24,88071.55,433.85,9404,1332,250616.60,26.65,25243,3483,355926.30,14.10,50444,6827,602805.80,11.95
4506,10/02/2025,30,12,9,37,11,29,8,20,1,0,1000000.00,1000000.00,6,1,55221.60,9203.60,197,25,85458.60,433.80,9543,1368,243346.50,25.50,25612,3492,345762.00,13.50,53222,7300,585442.00,11.00
4505,07/02/2025,30,32,26,23,7,5,15,10,0,0,0.00,0.00,11,0,38202.45,3472.95,134,30,59120.80,441.20,6672,1223,168134.40,25.20,18668,3346,238950.40,12.80,35478,5941,404449.20,11.40
4504,05/02/2025,2,31,6,9,8,20,44,11,1,0,1000000.00,1000000.00,21,3,55195.35,2628.35,288,40,85420.80,296.60,12089,1538,242988.90,20.10,26725,3484,346088.75,12.95,44821,6165,584914.05,13.05
4503,03/02/2025,28,18,26,3,7,38,9,17,0,0,0.00,0.00,8,0,50261.60,6282.70,173,18,77789.45,449.65,9695,1239,221530.75,22.85,23751,3237,314700.75,13.25,50841,7352,531288.45,10.45
4502,31/01/2025,23,35,42,20,34,2,4,31,0,0,0.00,0.00,8,0,36432.40,4554.05,87,10,56384.70,648.10,4991,898,160460.65,32.15,13756,2254,228349.60,16.60,29769,5224,385508.55,12.95
4501,29/01/2025,17,42,11,6,13,22,25,28,2,1,2000000.00,1000000.00,16,0,55176.80,3448.55,267,40,85386.60,319.80,10989,1627,242856.90,22.10,25122,3422,345427.50,13.75,45859,6399,584702.25,12.75
4500,27/01/2025,36,10,9,37,14,31,29,11,1,0,1000000.00,1000000.00,6,1,46560.00,7760.00,111,13,72055.65,649.15,5668,762,205181.60,36.20,16370,2176,291386.00,17.80,46798,6156,493718.90,10.55
4499,24/01/2025,20,9,1,37,17,21,35,45,1,0,1000000.00,1000000.00,9,3,37297.80,4144.20,125,27,57725.00,461.80,6119,1006,164295.15,26.85,14411,2743,233458.20,16.20,26825,4659,395668.75,14.75
